username,pertanyaan 1,pertanyaan 2,pertanyaan 3,pertanyaan 4,pertanyaan 5,pertanyaan 6,pertanyaan 7,pertanyaan 8,pertanyaan 9,pertanyaan 10,tanggal_waktu
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:45:42.850904
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:45:48.105504
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:45:54.392451
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:46:11.069721
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:46:15.650984
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:48:40.083496
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:48:53.782462
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:49:00.457386
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:49:06.479040
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:49:29.999916
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:49:37.124547
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:49:42.696087
kemasverii,1,1,1,1,1,1,1,1,1,7,2023-11-27 21:49:44.771414
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:53:16.956366
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:53:49.100321
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:53:52.738680
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:53:56.368713
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:54:28.244817
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:54:30.681044
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:54:55.664746
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:54:58.979647
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:55:39.237144
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:56:23.849918
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:56:25.867545
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:59:39.706793
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:59:41.601551
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 21:59:57.184421
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 22:00:24.941325
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 22:00:27.178178
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 22:01:54.081416
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 22:01:58.044147
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-27 22:02:34.105707
kemasverii,1,1,1,1,1,1,1,1,1,1,2023-11-28 01:12:34.619803
